AREA_NM,AREA_CD,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,RSB_LRG_CTGR,RSB_MID_CTGR,RSB_PAYMENT_LVL,RSB_SH_PAYMENT_CNT,RSB_SH_PAYMENT_AMT_MIN,RSB_SH_PAYMENT_AMT_MAX,RSB_MCT_CNT,RSB_MCT_TIME,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME
광화문·덕수궁,POI009,보통,92,3400000,3500000,음식·음료,한식,보통,12,800000,850000,374,202511,38.3,61.7,0.3,15.9,32.0,31.9,8.5,11.4,95.0,5.0,20251206 2100
광화문·덕수궁,POI009,보통,92,3400000,3500000,음식·음료,일식/중식/양식,한산한,4,450000,500000,179,202511,38.3,61.7,0.3,15.9,32.0,31.9,8.5,11.4,95.0,5.0,20251206 2100
광화문·덕수궁,POI009,보통,92,3400000,3500000,음식·음료,제과/커피/패스트푸드,한산한,8,100000,150000,107,202511,38.3,61.7,0.3,15.9,32.0,31.9,8.5,11.4,95.0,5.0,20251206 2100
광화문·덕수궁,POI009,보통,92,3400000,3500000,음식·음료,기타요식,한산한,7,150000,200000,310,202511,38.3,61.7,0.3,15.9,32.0,31.9,8.5,11.4,95.0,5.0,20251206 2100
광화문·덕수궁,POI009,보통,92,3400000,3500000,유통,할인점/슈퍼마켓,분주한,8,100000,150000,12,202511,38.3,61.7,0.3,15.9,32.0,31.9,8.5,11.4,95.0,5.0,20251206 2100
광화문·덕수궁,POI009,보통,92,3400000,3500000,유통,편의점,보통,13,100000,150000,39,202511,38.3,61.7,0.3,15.9,32.0,31.9,8.5,11.4,95.0,5.0,20251206 2100
광화문·덕수궁,POI009,보통,92,3400000,3500000,패션·뷰티,의복/의류,보통,4,300000,350000,27,202511,38.3,61.7,0.3,15.9,32.0,31.9,8.5,11.4,95.0,5.0,20251206 2100
광화문·덕수궁,POI009,보통,92,3400000,3500000,여가·오락,스포츠/문화/레저,바쁜,36,1100000,1200000,75,202511,38.3,61.7,0.3,15.9,32.0,31.9,8.5,11.4,95.0,5.0,20251206 2100
