STDR_YYQU_CD,MEGA_CD,MEGA_CD_NM,TOT_REPOP_CO,ML_REPOP_CO,FML_REPOP_CO,AGRDE_10_REPOP_CO,AGRDE_20_REPOP_CO,AGRDE_30_REPOP_CO,AGRDE_40_REPOP_CO,AGRDE_50_REPOP_CO,AGRDE_60_ABOVE_REPOP_CO,MAG_10_REPOP_CO,MAG_20_REPOP_CO,MAG_30_REPOP_CO,MAG_40_REPOP_CO,MAG_50_REPOP_CO,MAG_60_ABOVE_REPOP_CO,FAG_10_REPOP_CO,FAG_20_REPOP_CO,FAG_30_REPOP_CO,FAG_40_REPOP_CO,FAG_50_REPOP_CO,FAG_60_ABOVE_REPOP_CO,TOT_HSHLD_CO,APT_HSHLD_CO,NON_APT_HSHLD_CO,연도,분기,연도분기
20214,11,서울시,9664310,4699535,4964775,1405211,1459649,1474993,1527645,1522697,2274115,721361,707445,737845,756611,747971,1028302,683850,752204,737148,771034,774726,1245813,4413371,0,4413371,2021,4,2021Q4
20244,11,서울시,9360421,4527676,4832745,1243704,1350090,1421660,1416424,1492389,2436154,637249,641002,711041,701112,733018,1104254,606455,709088,710619,715312,759371,1331900,4453816,0,4453816,2024,4,2024Q4
20191,11,서울시,9702170,4747867,4954303,1510098,1416385,1552084,1586899,1542622,2094082,776305,702553,776358,789173,755010,948468,733793,713832,775726,797726,787612,1145614,4194825,1214893,2979932,2019,1,2019Q1
20192,11,서울시,9718264,4752284,4965980,1527096,1435455,1540876,1583606,1543218,2088013,785075,710503,770462,786826,754600,944818,742021,724952,770414,796780,788618,1143195,4231225,1215269,3015956,2019,2,2019Q2
20251,11,서울시,9360421,4527676,4832745,1243704,1350090,1421660,1416424,1492389,2436154,637249,641002,711041,701112,733018,1104254,606455,709088,710619,715312,759371,1331900,4453816,0,4453816,2025,1,2025Q1
20191,11,서울시,9702170,4747867,4954303,1510098,1416385,1552084,1586899,1542622,2094082,776305,702553,776358,789173,755010,948468,733793,713832,775726,797726,787612,1145614,4194825,1214893,2979932,2019,1,2019Q1
20192,11,서울시,9718264,4752284,4965980,1527096,1435455,1540876,1583606,1543218,2088013,785075,710503,770462,786826,754600,944818,742021,724952,770414,796780,788618,1143195,4231225,1215269,3015956,2019,2,2019Q2
20251,11,서울시,9360421,4527676,4832745,1243704,1350090,1421660,1416424,1492389,2436154,637249,641002,711041,701112,733018,1104254,606455,709088,710619,715312,759371,1331900,4453816,0,4453816,2025,1,2025Q1
