STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,MT_AVRG_INCOME_AMT,INCOME_SCTN_CD,EXPNDTR_TOTAMT,FDSTFFS_EXPNDTR_TOTAMT,CLTHS_FTWR_EXPNDTR_TOTAMT,LVSPL_EXPNDTR_TOTAMT,MCP_EXPNDTR_TOTAMT,TRNSPORT_EXPNDTR_TOTAMT,LSR_EXPNDTR_TOTAMT,CLTUR_EXPNDTR_TOTAMT,EDC_EXPNDTR_TOTAMT,PLESR_EXPNDTR_TOTAMT,연도,분기,연도분기,지출비율
20191,A,골목상권,3110020,서울국제고등학교,2838790,6,1893277180,452132567,252800465,124254004,230932468,243437040,68238981,71326707,354675459,95479489,2019,1,2019Q1,666.9310445647617
20191,A,골목상권,3110021,성균관대학교,3094492,7,1062083531,242915806,149142873,64336647,128741468,119906366,38074560,43410868,217013206,58541737,2019,1,2019Q1,343.2174104828838
20191,A,골목상권,3110022,경신고등학교,3727474,7,879563907,213067686,112630640,67054373,103617117,141197378,35771940,28983203,137249616,39991954,2019,1,2019Q1,235.9678181524539
20191,A,골목상권,3110023,서울대병원,3583075,7,430124011,108261409,56900899,32354969,52009106,63413630,16013724,16065073,63589499,21515702,2019,1,2019Q1,120.0432620026095
20191,A,골목상권,3110024,혜회동주민센터,3680918,7,526235130,139291704,65438122,42020919,64590263,87008490,19119069,17469686,67542127,23754750,2019,1,2019Q1,142.9630135743312
