기준일자,요일,시간대,격자_50,업종대분류,카드이용금액계,카드이용건수계
20240107,일요일,5,다사471a388b,정육점,183117,9
20240107,일요일,6,다사653b463a,편의점,156704,21
20240107,일요일,4,다사510a461b,게임방/오락실,145225,30
20240107,일요일,6,다사591b475a,기타요식,315327,18
20240107,일요일,6,다사503a509b,한식,539676,26
20240107,일요일,3,다사483b504b,편의점,32106,29
20240107,일요일,4,다사484b544a,의복/의류,454872,12
20240107,일요일,4,다사438b510b,스포츠/레저용품,450820,6
20240107,일요일,5,다사483b556b,커피전문점,152188,17
20240107,일요일,6,다사483a516b,편의점,184283,16
20240107,일요일,5,다사486a572b,한식,1113048,15
20240107,일요일,2,다사549b490a,기타요식,35861,4
20240107,일요일,3,다사657b458a,편의점,128422,48
20240107,일요일,4,다사629b582b,제과점,546543,30
20240107,일요일,1,다사628a559a,노래방,7657,2
20240107,일요일,2,다사406b444b,기타요식,59432,5
20240107,일요일,4,다사616a572a,일식,1320732,12
20240107,일요일,5,다사497b524a,생활잡화/수입상품점,660597,112
20240107,일요일,3,다사626b582b,ZZ_나머지,100142,8
20240107,일요일,2,다사479b504b,기타요식,176253,6
20240107,일요일,4,다사634b508a,커피전문점,151006,12
20240107,일요일,4,다사603b449b,한식,2503740,65
20240107,일요일,4,다사581b599a,스포츠시설,1829727,182
20240107,일요일,6,다사457b473a,편의점,202691,17
20240107,일요일,4,다사613a623a,기타유통,77280,14
20240107,일요일,4,다사599a451a,기타요식,73221,16
20240107,일요일,5,다사599a527b,패스트푸드,101265,8
20240107,일요일,3,다사672a499b,제과점,491441,35
20240107,일요일,5,다사490a529a,일식,480412,8
20240107,일요일,5,다사636b579b,편의점,589900,68
20240107,일요일,3,다사498b566a,ZZ_나머지,39206,9
20240107,일요일,4,다사598b454a,ZZ_나머지,631523,32
20240107,일요일,4,다사494b446b,기타요식,134029,5
20240107,일요일,4,다사659a461a,농수산물,383505,5
20240107,일요일,4,다사529a478b,미용실,215878,18
20240107,일요일,2,다사599a655b,한식,175604,5
20240107,일요일,1,다사628b587a,게임방/오락실,474574,23
20240107,일요일,5,다사476a421b,기타요식,186777,8
20240107,일요일,4,다사470b534a,커피전문점,488518,44
20240107,일요일,4,다사564b456b,ZZ_나머지,25119,7
20240107,일요일,6,다사563a524a,한식,1808311,40
20240107,일요일,3,다사518b422b,ZZ_나머지,64274,15
20240107,일요일,2,다사510a524b,한식,557332,15
20240107,일요일,3,다사627b508b,기타요식,323740,6
20240107,일요일,3,다사605a547b,ZZ_나머지,56202,15
20240107,일요일,3,다사580a451b,패스트푸드,850741,120
20240107,일요일,6,다사600b467a,ZZ_나머지,28463,7
20240107,일요일,5,다사632a508a,한식,2217829,33
20240107,일요일,6,다사569b456b,양식,4057591,22
20240107,일요일,4,다사579a467a,기타요식,739896,19
20240107,일요일,4,다사500a496b,한식,1235902,28
20240107,일요일,4,다사599a498a,제과점,49402,5
20240107,일요일,4,다사578b603a,생활잡화/수입상품점,161292,5
20240107,일요일,5,다사515a449b,생활잡화/수입상품점,2260171,163
20240107,일요일,5,다사440a500b,정육점,1184829,50
20240107,일요일,6,다사668a432b,한식,375825,6
20240107,일요일,6,다사527b511a,노래방,321068,16
20240107,일요일,6,다사583a440b,편의점,375161,71
20240107,일요일,5,다사420a467a,한식,289716,14
20240107,일요일,3,다사591a630a,정육점,673723,28
20240107,일요일,3,다사465b461a,미용실,395496,8
20240107,일요일,1,다사554a484b,한식,344018,17
20240107,일요일,4,다사469a428b,기타요식,347664,27
20240107,일요일,3,다사640b575a,한식,322627,31
20240107,일요일,1,다사561a520a,편의점,26676,3
20240107,일요일,4,다사587a570a,한식,519484,6
20240107,일요일,6,다사623a547b,슈퍼마켓일반형,40100,8
20240107,일요일,5,다사607b448b,기타요식,1563419,16
20240107,일요일,2,다사642a546b,편의점,246445,41
20240107,일요일,2,다사453a427a,한의원,12010,4
20240107,일요일,4,다사684b502b,한식,704160,10
20240107,일요일,2,다사512a461a,커피전문점,22625,5
20240107,일요일,5,다사516a425a,기타요식,791909,89
20240107,일요일,1,다사492a537a,노래방,17109,3
20240107,일요일,5,다사511a543b,편의점,708300,107
20240107,일요일,5,다사566b628b,ZZ_나머지,17308122,67
20240107,일요일,4,다사490b532b,제과점,858047,71
20240107,일요일,1,다사569a429b,한식,304749,7
20240107,일요일,4,다사587a544b,ZZ_나머지,239905,5
20240107,일요일,3,다사623a625a,편의점,50805,16
20240107,일요일,4,다사611a439a,제과점,5436121,170
20240107,일요일,2,다사482a567b,편의점,198876,10
20240107,일요일,5,다사469a477b,기타요식,304072,21
20240107,일요일,1,다사593a516b,편의점,25238,8
20240107,일요일,5,다사665a444a,편의점,255998,32
20240107,일요일,6,다사466a428b,결제대행(PG),12120672,449
20240107,일요일,6,다사552a516a,편의점,234533,26
20240107,일요일,5,다사488a560a,한식,628621,9
20240107,일요일,5,다사416b473a,제과점,555587,55
20240107,일요일,5,다사608a519b,슈퍼마켓일반형,4576503,298
20240107,일요일,6,다사490a460a,슈퍼마켓일반형,107387,14
20240107,일요일,4,다사441b475a,한식,5577305,17
20240107,일요일,4,다사484b459a,한식,687644,15
20240107,일요일,6,다사478a459b,게임방/오락실,56089,18
20240107,일요일,3,다사533b532b,한식,71522,8
20240107,일요일,3,다사574a585b,가전,9752897,8
20240107,일요일,4,다사610b521b,ZZ_나머지,84615,20
20240107,일요일,5,다사574a518b,한식,363702,8
20240114,일요일,1,다사631a547a,편의점,83972,9
20240114,일요일,3,다사513a493b,편의점,263590,19
20240114,일요일,6,다사565a577b,편의점,285579,34
20240114,일요일,4,다사573b605b,농수산물,52614,5
20240114,일요일,1,다사628a556b,편의점,160060,23
20240114,일요일,4,다사519a422b,한식,1317869,16
20240114,일요일,4,다사588a438a,편의점,257644,11
20240114,일요일,2,다사534a526b,한식,268586,11
20240114,일요일,5,다사599b615b,한식,384856,56
20240114,일요일,3,다사652b443a,생활잡화/수입상품점,1393951,41
20240114,일요일,4,다사601b500b,커피전문점,178132,25
20240114,일요일,2,다사589b428a,편의점,20578,4
20240114,일요일,3,다사621b491a,제과점,793404,64
20240114,일요일,4,다사483b447a,정육점,287499,5
20240114,일요일,3,다사573b576b,한식,672045,9
20240114,일요일,5,다사589a609b,약국,522883,100
20240114,일요일,5,다사713a520a,기타식품,267120,45
20240114,일요일,3,다사596a561b,독서실,40131,8
20240114,일요일,2,다사642b550a,편의점,126001,10
20240114,일요일,4,다사637b505b,편의점,125996,24
20240114,일요일,5,다사480b506a,동물병원,7242836,31
20240114,일요일,3,다사611b576b,편의점,7704,7
20240114,일요일,1,다사518a424a,한식,591699,8
20240114,일요일,4,다사593a531a,편의점,318088,59
20240114,일요일,1,다사488b505a,한식,1217297,26
20240114,일요일,5,다사428b446b,슈퍼마켓일반형,1858476,147
20240114,일요일,3,다사434a475a,한식,238118,8
20240114,일요일,6,다사548a433b,편의점,335354,45
20240114,일요일,1,다사517b423a,ZZ_나머지,118287,21
20240114,일요일,2,다사405b522a,세탁소,155744,7
20240114,일요일,5,다사601a463a,편의점,804998,56
20240114,일요일,2,다사598a430a,편의점,84319,12
20240114,일요일,6,다사480a582b,편의점,475164,52
20240114,일요일,6,다사480a539b,실내/실외골프장,179303,7
20240114,일요일,5,다사580b532a,편의점,263131,25
20240114,일요일,2,다사510b551a,편의점,167659,31
20240114,일요일,1,다사610b617b,"모텔,여관,기타숙박",688094,5
20240114,일요일,4,다사551a521a,기타요식,166612,20
20240114,일요일,4,다사517b517b,양식,92092,6
20240114,일요일,5,다사417b513b,일식,277927,17
20240114,일요일,5,다사597b419a,일식,276532,11
20240114,일요일,4,다사636b452b,화원,172817,18
20240114,일요일,4,다사540a523b,한식,67772,6
20240114,일요일,5,다사630a487b,편의점,593516,82
20240114,일요일,5,다사588a626b,기타요식,31318,7
20240114,일요일,1,다사583a624a,편의점,200748,29
20240114,일요일,3,다사559b537a,양식,334730,5
20240114,일요일,5,다사595b588a,커피전문점,318809,93
20240114,일요일,2,다사581b448b,제과점,74158,5
20240114,일요일,5,다사596b518b,편의점,794682,103
20240114,일요일,5,다사491a541a,커피전문점,106932,30
20240114,일요일,6,다사596b429b,양식,996060,20
20240114,일요일,5,다사615b463b,편의점,131646,23
20240114,일요일,4,다사601b451b,편의점,130343,18
20240114,일요일,2,다사589b556a,ZZ_나머지,27631,6
20240114,일요일,5,다사573a603b,슈퍼마켓일반형,45856,6
20240114,일요일,4,다사496b521b,한식,1293782,79
20240114,일요일,4,다사621b494a,중식,31587,7
20240114,일요일,4,다사580b467a,편의점,89002,22
20240114,일요일,5,다사623a509b,슈퍼마켓일반형,402390,31
20240114,일요일,3,다사542b430b,한식,1028368,69
20240114,일요일,2,다사523b486b,편의점,46102,6
20240114,일요일,2,다사639a533b,슈퍼마켓일반형,158101,28
20240114,일요일,5,다사488a579a,약국,1789787,150
20240114,일요일,5,다사626a625b,정육점,962562,29
20240114,일요일,4,다사483b545a,기타요식,160622,5
20240114,일요일,6,다사689b430a,편의점,587503,66
20240114,일요일,4,다사489b570a,한식,108966,5
20240114,일요일,4,다사509a427a,주유소,1750914,59
20240114,일요일,3,다사695a503b,슈퍼마켓일반형,797253,8
20240114,일요일,4,다사658b459b,주유소,4737661,69
20240114,일요일,3,다사507a498b,기타유통,100287,21
20240114,일요일,5,다사492a480b,주유소,74357,11
20240114,일요일,3,다사484a519a,편의점,162574,16
20240114,일요일,5,다사538b514b,약국,53772,7
20240114,일요일,3,다사456a438a,일식,371992,17
20240114,일요일,5,다사499a570b,편의점,294914,42
20240114,일요일,6,다사616b491b,한식,879399,27
20240114,일요일,6,다사516a494a,편의점,80836,13
20240114,일요일,2,다사600a636a,한식,811196,28
20240114,일요일,4,다사398a431a,편의점,493932,80
20240114,일요일,3,다사488b505a,기타요식,190827,35
20240114,일요일,2,다사600a424a,편의점,211830,32
20240114,일요일,5,다사641a553a,대형마트,226707480,4169
20240114,일요일,3,다사491a515b,기타요식,7095012,374
20240114,일요일,5,다사581b574a,편의점,633994,57
20240114,일요일,5,다사686a484a,제과점,540322,47
20240114,일요일,3,다사578a610a,정육점,14193321,8
20240114,일요일,5,다사531b488a,기타요식,191589,43
